ParentStringCompressed; AppliedRuleID; ApplicationCount; SuccessfulCount; LastUpdated
M64I; 1; 29; 0; 2025/09/01 17:47:20
M64I; 2; 29; 0; 2025/09/01 17:47:20
M64I; 3; 29; 0; 2025/09/01 17:47:20
M32IU; 2; 29; 0; 2025/09/01 17:47:06
M32IU; 3; 29; 0; 2025/09/01 17:47:06
M5UI6UI6UI6UI6UI6UI6UI6UIU; 2; 29; 0; 2025/09/01 17:47:03
M5UI6UI6UI6UI6UI6UI6UI6UIU; 4; 29; 0; 2025/09/01 17:47:03
M32IU32IU; 2; 29; 0; 2025/09/01 17:47:08
M32IU32IU; 3; 29; 0; 2025/09/01 17:47:08
M16IU16IU16IU16IU; 2; 29; 0; 2025/09/01 17:47:04
M16IU16IU16IU16IU; 3; 29; 0; 2025/09/01 17:47:04
M2U2I2U2I2U2I2U2I2U2I2U2I2U2I2U2IU; 2; 29; 0; 2025/09/01 17:47:02
M2U2I2U2I2U2I2U2I2U2I2U2I2U2I2U2IU; 4; 29; 0; 2025/09/01 17:47:02
MUIUIUIUIUIUIUIUIUIUIUIUIUIUIUIUIU; 2; 31; 0; 2025/09/01 17:46:52
MUIUIUIUIUIUIUIUIUIUIUIUIUIUIUIUIUIUIUIUIUIUIUIUIUIUIUIUIUIUIUIUI; 1; 31; 0; 2025/09/01 17:46:54
MUIUIUIUIUIUIUIUIUIUIUIUIUIUIUIUIUIUIUIUIUIUIUIUIUIUIUIUIUIUIUIUI; 2; 31; 0; 2025/09/01 17:46:54
M2U2I2U2I2U2I2U2I2U2I2U2I2U2I2U2I2U2I2U2I2U2I2U2I2U2I2U2I2U2I2U2I; 1; 29; 0; 2025/09/01 17:47:06
M2U2I2U2I2U2I2U2I2U2I2U2I2U2I2U2I2U2I2U2I2U2I2U2I2U2I2U2I2U2I2U2I; 2; 29; 0; 2025/09/01 17:47:06
M2U2I2U2I2U2I2U2I2U2I2U2I2U2I2U2I2U2I2U2I2U2I2U2I2U2I2U2I2U2I2U2I; 4; 29; 0; 2025/09/01 17:47:06
M3U2I4U2I4U2I4U2I4U2I4U2I4U2I4U2IU; 2; 31; 0; 2025/09/01 17:46:26
M3U2I4U2I4U2I4U2I4U2I4U2I4U2I4U2IU; 4; 31; 0; 2025/09/01 17:46:27
MUIU2IU2IU2IUI2UIU2IU2IU2IUI2UIU2IU2IU2IUI2UIU2IU2IU2IUIU; 2; 31; 0; 2025/09/01 17:46:40
MUIU2IU2IU2IUI2UIU2IU2IU2IUI2UIU2IU2IU2IUI2UIU2IU2IU2IUIU; 4; 31; 0; 2025/09/01 17:46:40
M2U2I3U2I3U2I3U2IU; 2; 29; 0; 2025/09/01 17:46:57
M2U2I3U2I3U2I3U2IU; 4; 29; 0; 2025/09/01 17:46:57
M2U2I3U2I3U2I3U2I3U2I3U2I3U2I3U2IU; 2; 29; 0; 2025/09/01 17:46:57
M2U2I3U2I3U2I3U2I3U2I3U2I3U2I3U2IU; 4; 29; 0; 2025/09/01 17:46:57
M8IU8IU8IU8IU8IU8IU8IU8IU; 2; 29; 0; 2025/09/01 17:47:00
M8IU8IU8IU8IU8IU8IU8IU8IU; 3; 29; 0; 2025/09/01 17:47:00
M2U2I2U2I2U2I2U2I2U2I2U2I2U2I2U2I3U2I2U2I2U2I2U2I2U2I2U2I2U2I2U2IU; 2; 29; 0; 2025/09/01 17:47:05
M2U2I2U2I2U2I2U2I2U2I2U2I2U2I2U2I3U2I2U2I2U2I2U2I2U2I2U2I2U2I2U2IU; 4; 29; 0; 2025/09/01 17:47:05
MUIUIUIUIUIUIUIUIUIUIUIUIUIUIUIUI2UIUIUIUIUIUIUIUIUIUIUIUIUIUIUIUIU; 2; 31; 0; 2025/09/01 17:46:52
MUIUIUIUIUIUIUIUIUIUIUIUIUIUIUIUI2UIUIUIUIUIUIUIUIUIUIUIUIUIUIUIUIU; 4; 31; 0; 2025/09/01 17:46:52
MUIUIUIU2IUIUIUI2UIUIUIU2IUIUIUI2UIUIUIU2IUIUIUI2UIUIUIU2IUIUIUIU; 2; 31; 0; 2025/09/01 17:46:46
MUIUIUIU2IUIUIUI2UIUIUIU2IUIUIUI2UIUIUIU2IUIUIUI2UIUIUIU2IUIUIUIU; 4; 31; 0; 2025/09/01 17:46:46
M2U2I2U2I2U2I2U2I3U2I2U2I2U2I2U2I3U2I2U2I2U2I2U2I3U2I2U2I2U2I2U2IU; 2; 29; 0; 2025/09/01 17:47:01
M2U2I2U2I2U2I2U2I3U2I2U2I2U2I2U2I3U2I2U2I2U2I2U2I3U2I2U2I2U2I2U2IU; 4; 29; 0; 2025/09/01 17:47:01
MUIUIUIUIUIUIUIUI2UIUIUIUIUIUIUIUI2UIUIUIUIUIUIUIUI2UIUIUIUIUIUIUIUIU; 2; 31; 0; 2025/09/01 17:46:51
MUIUIUIUIUIUIUIUI2UIUIUIUIUIUIUIUI2UIUIUIUIUIUIUIUI2UIUIUIUIUIUIUIUIU; 4; 31; 0; 2025/09/01 17:46:51
MUIUIUIUIUIUIUIU2IUIUIUIUIUIUIUIU; 2; 31; 0; 2025/09/01 17:46:48
MUIU2IUI2UIU2IUI2UIU2IUI2UIU2IUI2UIU2IUI2UIU2IUI2UIU2IUI2UIU2IUIU; 2; 31; 0; 2025/09/01 17:46:41
MUIU2IUI2UIU2IUI2UIU2IUI2UIU2IUI2UIU2IUI2UIU2IUI2UIU2IUI2UIU2IUIU; 4; 31; 0; 2025/09/01 17:46:41
MUIUIUIUIUIUIUIU2IUIUIUIUIUIUIUI2UIUIUIUIUIUIUIU2IUIUIUIUIUIUIUIU; 2; 31; 0; 2025/09/01 17:46:48
MUIUIUIUIUIUIUIU2IUIUIUIUIUIUIUI2UIUIUIUIUIUIUIU2IUIUIUIUIUIUIUIU; 4; 31; 0; 2025/09/01 17:46:48
MU16IU; 2; 31; 0; 2025/09/01 17:46:27
MU16IU; 3; 31; 0; 2025/09/01 17:46:27
MU16I2U16IU; 2; 31; 0; 2025/09/01 17:46:28
MU16I2U16IU; 3; 31; 0; 2025/09/01 17:46:28
MU16I2U16IU; 4; 31; 0; 2025/09/01 17:46:28
M6UIU; 2; 31; 0; 2025/09/01 17:46:27
M6UIU; 4; 31; 0; 2025/09/01 17:46:27
MU2I2U2I2U2I2U2I2U2I2U2I2U2I2U2I2U2I2U2I2U2I2U2I2U2I2U2I2U2I2U2IU; 2; 31; 0; 2025/09/01 17:46:34
MU2I2U2I2U2I2U2I2U2I2U2I2U2I2U2I2U2I2U2I2U2I2U2I2U2I2U2I2U2I2U2IU; 4; 31; 0; 2025/09/01 17:46:34
M2U2I2U2I3U2I2U2I3U2I2U2I3U2I2U2I3U2I2U2I3U2I2U2I3U2I2U2I3U2I2U2IU; 2; 29; 0; 2025/09/01 17:46:59
M2U2I2U2I3U2I2U2I3U2I2U2I3U2I2U2I3U2I2U2I3U2I2U2I3U2I2U2I3U2I2U2IU; 4; 29; 0; 2025/09/01 17:46:59
M4IU4IU4IU4IU4IU4IU4IU4IU4IU4IU4IU4IU4IU4IU4IU4IU; 2; 31; 0; 2025/09/01 17:46:36
M4IU4IU4IU4IU4IU4IU4IU4IU4IU4IU4IU4IU4IU4IU4IU4IU; 3; 31; 0; 2025/09/01 17:46:36
MUIUIUIUI2UIUIUIUI2UIUIUIUI2UIUIUIUI2UIUIUIUI2UIUIUIUI2UIUIUIUI2UIUIUIUIU; 2; 31; 0; 2025/09/01 17:46:47
MUIUIUIUI2UIUIUIUI2UIUIUIUI2UIUIUIUI2UIUIUIUI2UIUIUIUI2UIUIUIUI2UIUIUIUIU; 4; 31; 0; 2025/09/01 17:46:47
MUIUIUIU2IUIUIU2IUIUIU2IUIUIUIU; 2; 31; 0; 2025/09/01 17:46:43
MUIUIUIU2IUIUIU2IUIUIU2IUIUIUI2UIUIUIU2IUIUIU2IUIUIU2IUIUIUIU; 2; 31; 0; 2025/09/01 17:46:43
MUIUIUIU2IUIUIU2IUIUIU2IUIUIUI2UIUIUIU2IUIUIU2IUIUIU2IUIUIUIU; 4; 31; 0; 2025/09/01 17:46:43
M2UI3UI3UI3UI3UI3UI3UI3UI3UI3UI3UI3UI3UI3UI3UI3UIU; 2; 31; 0; 2025/09/01 17:46:25
M2UI3UI3UI3UI3UI3UI3UI3UI3UI3UI3UI3UI3UI3UI3UI3UIU; 4; 31; 0; 2025/09/01 17:46:25
MUIU2IU2IU2IU2IU2IU2IU2IUIU; 2; 31; 0; 2025/09/01 17:46:38
MUIU2IU2IU2IU2IU2IU2IU2IUI2UIU2IU2IU2IU2IU2IU2IU2IUIU; 2; 31; 0; 2025/09/01 17:46:38
MUIU2IU2IU2IU2IU2IU2IU2IUI2UIU2IU2IU2IU2IU2IU2IU2IUIU; 4; 31; 0; 2025/09/01 17:46:38
M2U2I3U2I3U2I3U2I3U2I3U2I3U2I3U2I3U2I3U2I3U2I3U2I3U2I3U2I3U2I3U2IU; 2; 29; 0; 2025/09/01 17:46:58
M2U2I3U2I3U2I3U2I3U2I3U2I3U2I3U2I3U2I3U2I3U2I3U2I3U2I3U2I3U2I3U2IU; 4; 29; 0; 2025/09/01 17:46:58
MUIUI2UIUI2UIUI2UIUI2UIUI2UIUI2UIUI2UIUI2UIUI2UIUI2UIUI2UIUI2UIUI2UIUI2UIUI2UIUIU; 2; 31; 0; 2025/09/01 17:46:42
MUIUI2UIUI2UIUI2UIUI2UIUI2UIUI2UIUI2UIUI2UIUI2UIUI2UIUI2UIUI2UIUI2UIUI2UIUI2UIUIU; 4; 31; 0; 2025/09/01 17:46:42
M6UI7UIU; 2; 31; 0; 2025/09/01 17:46:27
M6UI7UIU; 4; 31; 0; 2025/09/01 17:46:27
M6UI7UI7UI7UIU; 2; 30; 0; 2025/09/01 17:46:27
M6UI7UI7UI7UIU; 4; 30; 0; 2025/09/01 17:46:27
MU16I2U16I2U16I2U16IU; 2; 31; 0; 2025/09/01 17:46:30
MU16I2U16I2U16I2U16IU; 3; 31; 0; 2025/09/01 17:46:30
MU16I2U16I2U16I2U16IU; 4; 31; 0; 2025/09/01 17:46:30
M6UI7UI7UI7UI7UI7UI7UI7UIU; 2; 30; 0; 2025/09/01 17:46:27
M6UI7UI7UI7UI7UI7UI7UI7UIU; 4; 30; 0; 2025/09/01 17:46:27
M2IU2IU2IU2IU2IU2IU2IU2IU2IU2IU2IU2IU2IU2IU2IU2IU2IU2IU2IU2IU2IU2IU2IU2IU2IU2IU2IU2IU2IU2IU2IU2IU; 2; 33; 0; 2025/09/01 17:46:23
MU32IU; 2; 31; 0; 2025/09/01 17:46:28
MU32IU; 3; 31; 0; 2025/09/01 17:46:28
MU32I2U32IU; 2; 31; 0; 2025/09/01 17:46:29
MU32I2U32IU; 3; 31; 0; 2025/09/01 17:46:29
MU32I2U32IU; 4; 31; 0; 2025/09/01 17:46:29
M11U2IU; 2; 31; 0; 2025/09/01 17:46:28
M11U2IU; 4; 31; 0; 2025/09/01 17:46:28
